City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Eenhana,-17.4667,16.3333,65.8,45,8,2.15,NA,1650742648
Ponta do Sol,32.6667,-17.1,64.0,59,91,6.93,PT,1650742648
Beringovskiy,63.05,179.3167,24.46,93,96,2.44,RU,1650742648
Jamestown,42.097,-79.2353,74.52,36,20,6.91,US,1650742362
Grand Gaube,-20.0064,57.6608,77.4,66,55,10.0,MU,1650742649
Naze,28.3667,129.4833,72.52,90,100,11.27,JP,1650742649
Petrolina,-9.3986,-40.5008,89.65,43,20,9.22,BR,1650742649
Punta Arenas,-53.15,-70.9167,44.71,87,100,18.41,CL,1650742650
Busselton,-33.65,115.3333,57.56,78,3,10.92,AU,1650742650
Bowen,-20.0167,148.2333,76.14,79,38,21.03,AU,1650742650
Havre-St-Pierre,50.2334,-63.5986,35.6,64,100,11.5,CA,1650742651
Ust'-Ordynskiy,52.805,104.7508,24.75,74,90,2.44,RU,1650742651
Hobart,-42.8794,147.3294,48.06,87,29,9.22,AU,1650742651
Rawson,-43.3002,-65.1023,64.08,25,24,36.04,AR,1650742652
Mataura,-46.1927,168.8643,51.48,97,100,7.0,NZ,1650742361
Bandarbeyla,9.4942,50.8122,82.36,76,25,7.67,SO,1650742652
Khatanga,71.9667,102.5,-13.63,100,70,1.59,RU,1650742652
Norman Wells,65.282,-126.8329,37.44,44,0,16.11,CA,1650742652
Arica,-18.475,-70.3042,76.55,60,0,12.66,CL,1650742472
Deputatsky,69.3,139.9,-0.94,99,100,1.95,RU,1650742653
Anadyr,64.75,177.4833,25.3,85,20,2.24,RU,1650742653
Homer,59.6425,-151.5483,44.04,75,0,0.0,US,1650742653
Provideniya,64.3833,-173.3,29.32,60,72,1.52,RU,1650742443
Albany,42.6001,-73.9662,57.56,32,100,2.46,US,1650742451
Vaini,-21.2,-175.2,68.16,100,75,0.0,TO,1650742654
Hermanus,-34.4187,19.2345,56.8,66,100,6.33,ZA,1650742370
Saint-Philippe,-21.3585,55.7679,71.22,75,35,15.39,RE,1650742654
Manzhouli,49.6,117.4333,31.84,72,92,6.98,CN,1650742655
Ahipara,-35.1667,173.1667,63.7,60,83,14.81,NZ,1650742655
New Norfolk,-42.7826,147.0587,47.7,81,30,2.77,AU,1650742655
Necochea,-38.5473,-58.7368,67.91,49,5,20.47,AR,1650742655
Atasū,48.6814,71.6433,41.25,35,100,18.34,KZ,1650742656
Atikokan,48.7555,-91.6216,37.71,100,100,12.12,CA,1650742656
Hay River,60.8156,-115.7999,22.98,80,20,10.36,CA,1650742656
Lorengau,-2.0226,147.2712,80.47,80,99,5.95,PG,1650742657
Airai,-8.9266,125.4092,58.84,68,9,1.92,TL,1650742374
Port Hardy,50.6996,-127.4199,50.18,71,100,12.66,CA,1650742657
Uzyn,49.8262,30.4149,52.48,73,100,14.41,UA,1650742657
Cape Town,-33.9258,18.4232,59.41,67,40,13.8,ZA,1650742524
Morón,-34.6534,-58.6198,73.02,48,2,10.38,AR,1650742658
Mar del Plata,-38.0023,-57.5575,73.42,38,0,25.32,AR,1650742444
Bambous Virieux,-20.3428,57.7575,77.25,69,40,13.8,MU,1650742519
Nouadhibou,20.931,-17.0347,71.58,60,19,18.41,MR,1650742658
Kazachinskoye,57.6953,93.2761,18.91,93,16,3.6,RU,1650742659
Kruisfontein,-34.0033,24.7314,58.89,93,100,2.08,ZA,1650742659
Berlevåg,70.8578,29.0864,37.2,90,100,16.13,NO,1650742659
Sindor,62.8629,51.8905,33.71,99,100,3.96,RU,1650742659
Hong Kong,22.2855,114.1577,80.19,89,7,4.0,HK,1650742569
Buraidah,26.326,43.975,68.45,59,100,15.05,SA,1650742660
Tura,25.5198,90.2201,73.11,87,0,7.52,IN,1650742660
Manono,-7.3,27.4167,70.23,93,100,0.96,CD,1650742660
Clyde River,70.4692,-68.5914,1.63,78,0,2.3,CA,1650742592
Mahébourg,-20.4081,57.7,77.29,69,40,13.8,MU,1650742661
Lahaina,20.8783,-156.6825,80.6,85,85,6.87,US,1650742661
Lebu,-37.6167,-73.65,57.43,74,63,8.97,CL,1650742662
Bilma,18.6853,12.9164,93.22,11,6,7.92,NE,1650742662
Pacific Grove,36.6177,-121.9166,66.38,72,0,11.01,US,1650742662
Kushiro,42.975,144.3747,38.75,74,0,2.06,JP,1650742663
Avarua,-21.2078,-159.775,73.45,94,75,10.36,CK,1650742437
Kapit,2.0167,112.9333,73.9,100,100,1.77,MY,1650742663
George Town,5.4112,100.3354,82.35,84,20,5.75,MY,1650742623
Krasnosel'kup,65.7,82.4667,0.63,99,100,7.81,RU,1650742663
Ilulissat,69.2167,-51.1,28.42,86,75,6.91,GL,1650742664
Ribeira Grande,38.5167,-28.7,59.4,58,20,20.71,PT,1650742664
São Filipe,14.8961,-24.4956,75.45,72,0,6.06,CV,1650742664
Mizdah,31.4451,12.9801,68.77,17,0,9.19,LY,1650742665
Mayo,38.8876,-76.5119,79.66,48,75,5.99,US,1650742665
Kapaa,22.0752,-159.319,80.58,86,100,16.11,US,1650742665
Laguna,38.421,-121.4238,73.69,40,0,17.27,US,1650742666
Boda,4.3189,17.4695,74.52,77,64,2.68,CF,1650742666
Terme,41.2092,36.9739,49.93,82,10,4.83,TR,1650742666
Paraná,-31.732,-60.5238,72.57,49,0,8.66,AR,1650742666
Belmonte,-15.8631,-38.8828,80.67,77,3,7.23,BR,1650742667
Leh,34.1667,77.5833,36.88,44,14,5.12,IN,1650742667
Bangkalan,-7.0455,112.7351,78.75,87,50,1.7,ID,1650742667
Saskylakh,71.9167,114.0833,-14.3,100,93,4.21,RU,1650742668
Atuona,-9.8,-139.0333,79.2,80,93,15.68,PF,1650742559
Hurghada,27.2574,33.8129,77.04,44,0,9.22,EG,1650742668
Weyburn,49.6668,-103.8511,35.82,87,100,29.93,CA,1650742668
Panalingaan,8.7842,117.4231,78.17,87,75,3.06,PH,1650742669
Vila Velha,-20.3297,-40.2925,87.75,75,0,16.11,BR,1650742669
Lompoc,34.6391,-120.4579,78.01,40,0,18.41,US,1650742524
North Platte,41.1239,-100.7654,50.11,54,80,34.0,US,1650742535
Mount Gambier,-37.8333,140.7667,46.31,93,0,4.61,AU,1650742670
Saldanha,-33.0117,17.9442,53.65,70,0,21.79,ZA,1650742670
Chokurdakh,70.6333,147.9167,-10.28,100,100,2.01,RU,1650742670
Xushan,30.1764,121.2457,66.92,93,88,1.81,CN,1650742670
Constitución,-35.3333,-72.4167,59.11,84,100,5.37,CL,1650742671
Venado Tuerto,-33.7456,-61.9688,73.76,40,99,14.07,AR,1650742374
Bathsheba,13.2167,-59.5167,84.81,58,40,16.11,BB,1650742671
Tessalit,20.1986,1.0114,85.42,6,29,10.76,ML,1650742671
Byron Bay,-28.65,153.6167,67.89,83,100,12.53,AU,1650742672
Champerico,14.3,-91.9167,93.74,60,7,11.1,GT,1650742672
Barrow,71.2906,-156.7887,15.82,86,100,3.44,US,1650742672
Monte Alegre de Sergipe,-10.0272,-37.5622,84.29,55,56,14.27,BR,1650742673
Coahuayana Viejo,18.7333,-103.6833,90.21,36,0,8.55,MX,1650742673
Chui,-33.6971,-53.4616,66.94,36,0,9.13,UY,1650742673
Shimoda,34.6667,138.95,64.11,80,100,6.58,JP,1650742673
Mocuba,-16.8392,36.9856,70.97,99,65,3.87,MZ,1650742674
Katsuura,35.1333,140.3,66.22,86,100,9.01,JP,1650742674
East London,-33.0153,27.9116,62.92,89,96,4.34,ZA,1650742674
Puri,19.8,85.85,81.63,88,87,20.0,IN,1650742675
Tacuatí,-23.45,-56.5833,81.37,82,36,1.74,PY,1650742675
Bethel,41.3712,-73.414,65.35,35,100,4.61,US,1650742675
Yulara,-25.2406,130.9889,62.44,42,13,9.22,AU,1650742676
Baoding,38.8511,115.4903,62.2,40,100,2.86,CN,1650742676
Bengkulu,-3.8004,102.2655,74.61,94,100,7.47,ID,1650742676
Nantucket,41.2835,-70.0995,53.71,62,0,10.36,US,1650742519
Rosetown,51.5501,-108.0014,46.38,53,100,13.8,CA,1650742677
Lüderitz,-26.6481,15.1594,57.29,78,0,22.82,NA,1650742440
Hamilton,39.1834,-84.5333,84.49,39,0,16.11,US,1650742677
Thompson,55.7435,-97.8558,44.76,36,75,16.11,CA,1650742677
Severo-Kuril'sk,50.6789,156.125,35.02,98,100,13.65,RU,1650742678
Norrtälje,59.758,18.705,41.43,88,100,9.51,SE,1650742678
Bolu Province,40.6667,31.5833,53.65,74,45,1.48,TR,1650742678
Vytegra,61.0064,36.4481,34.99,89,100,3.6,RU,1650742679
Coquimbo,-29.9533,-71.3436,58.73,88,75,17.27,CL,1650742679
Ust'-Koksa,50.2696,85.6108,29.28,74,34,2.66,RU,1650742679
Arlit,18.7369,7.3853,90.68,10,27,10.13,NE,1650742680
Dikson,73.5069,80.5464,-3.33,100,100,7.99,RU,1650742680
Sioux Lookout,50.1001,-91.917,35.67,93,100,11.5,CA,1650742680
Waitati,-45.75,170.5667,53.8,75,100,12.28,NZ,1650742681
Cidreira,-30.1811,-50.2056,67.59,54,0,11.43,BR,1650742681
Beyneu,45.3167,55.2,54.18,56,89,10.33,KZ,1650742681
Ostrovnoy,68.0531,39.5131,25.57,94,62,7.56,RU,1650742681
Killybegs,54.6333,-8.45,58.71,73,6,9.73,IE,1650742682
Amga,60.8953,131.9608,21.6,97,100,0.98,RU,1650742682
Yafran,32.0633,12.5286,66.45,27,0,7.49,LY,1650742683
Comodoro Rivadavia,-45.8667,-67.5,58.86,36,40,47.18,AR,1650742683
Valparaíso,-33.0393,-71.6273,79.03,55,0,11.5,CL,1650742683
Turukhansk,65.8167,87.9833,6.67,98,79,6.8,RU,1650742684
Sinnamary,5.3833,-52.95,77.41,88,98,7.58,GF,1650742684
Qaanaaq,77.484,-69.3632,3.99,82,26,5.08,GL,1650742437
Longyearbyen,78.2186,15.6401,21.04,86,75,1.14,SJ,1650742684
Broken Hill,-31.95,141.4333,62.31,67,100,11.5,AU,1650742685
Puerto Ayora,-0.7393,-90.3518,78.76,80,59,11.25,EC,1650742685
Vardø,70.3705,31.1107,38.88,87,100,17.05,NO,1650742685
Meulaboh,4.1363,96.1285,77.49,92,76,4.61,ID,1650742686
Nikolskoye,59.7035,30.7861,42.87,79,100,9.98,RU,1650742450
Poronaysk,49.2167,143.1167,22.93,89,88,0.6,RU,1650742686
Carutapera,-1.195,-46.02,75.78,94,93,3.47,BR,1650742687
Saint George,37.1041,-113.5841,64.8,29,0,5.01,US,1650742651
Corsicana,32.0954,-96.4689,83.25,55,40,23.02,US,1650742687
Kidal,18.4411,1.4078,89.17,7,100,9.66,ML,1650742687
Kahului,20.8947,-156.47,80.62,57,40,18.41,US,1650742687
Yellowknife,62.456,-114.3525,25.32,58,20,9.22,CA,1650742670
Batagay,67.6333,134.6333,1.58,100,100,1.74,RU,1650742688
Galesong,-5.3166,119.3661,77.02,86,20,6.93,ID,1650742688
Bāfq,31.6128,55.4107,76.08,23,100,7.0,IR,1650742688
Yatou,37.15,122.3833,50.14,97,39,10.96,CN,1650742689
Weinan,34.5036,109.5089,65.34,59,64,1.57,CN,1650742689
Yumen,40.2833,97.2,53.1,23,22,0.31,CN,1650742690
Codrington,-38.2667,141.9667,47.5,93,0,6.82,AU,1650742690
Innisfail,-17.5333,146.0333,74.57,91,100,10.27,AU,1650742690
Kieta,-6.2167,155.6333,79.61,79,100,1.21,PG,1650742591
Belaya Gora,68.5333,146.4167,0.72,100,100,1.92,RU,1650742691
Port Alfred,-33.5906,26.891,64.51,84,100,3.78,ZA,1650742691
Hofn,64.2539,-15.2082,43.61,85,1,5.46,IS,1650742691
Mil'kovo,54.7167,158.6167,30.04,95,100,8.21,RU,1650742691
Santa Cruz de la Sierra,-17.8,-63.1667,89.65,58,40,16.11,BO,1650742691
Marawi,7.9986,124.2928,68.05,94,54,1.68,PH,1650742692
Winneba,5.3511,-0.6231,81.1,85,100,8.61,GH,1650742692
Hinton,53.4001,-117.5857,48.97,61,100,1.79,CA,1650742692
Arrondissement de Mende,44.6667,3.5,34.63,99,100,4.97,FR,1650742693
Fortuna,40.5982,-124.1573,55.92,85,100,11.5,US,1650742693
Itoman,26.1247,127.6694,75.97,96,75,9.22,JP,1650742693
Río Gallegos,-51.6226,-69.2181,46.45,87,100,9.22,AR,1650742694
Port Elizabeth,-33.918,25.5701,62.31,99,75,4.61,ZA,1650742694
Dawei,14.0833,98.2,77.0,92,37,1.59,MM,1650742694
Jizan,17.3333,42.6667,86.94,50,68,2.35,SA,1650742695
Los Llanos de Aridane,28.6585,-17.9182,62.35,84,40,5.99,ES,1650742695
Baní,18.2833,-70.3333,85.44,58,100,14.9,DO,1650742695
Asău,46.4333,26.4,52.95,100,37,4.18,RO,1650742696
Daru,-9.0763,143.2092,77.0,92,100,7.45,PG,1650742696
Torbay,47.6666,-52.7314,38.88,84,100,23.02,CA,1650742696
George,-33.963,22.4617,56.75,94,100,3.44,ZA,1650742496
Geraldton,-28.7667,114.6,66.61,48,30,11.5,AU,1650742683
Harper,4.375,-7.7169,80.87,82,100,6.58,LR,1650742697
Lumeje,-11.55,20.7833,68.77,73,68,3.22,AO,1650742697
Bodden Town,19.2833,-81.25,82.99,69,40,13.0,KY,1650742697
Kaeo,-35.1,173.7833,56.32,96,35,5.66,NZ,1650742698
Ancud,-41.8697,-73.8203,50.23,82,100,20.89,CL,1650742698
Tiksi,71.6872,128.8694,1.33,100,100,2.33,RU,1650742698
Bukachacha,52.9833,116.9167,30.29,46,100,2.75,RU,1650742699
Pichayevo,53.2363,42.2032,49.98,64,51,3.78,RU,1650742699
Balagtas (Bigaa),14.8167,120.8667,82.38,76,18,3.4,PH,1650742699
Skjervøy,70.0311,20.9714,35.6,77,61,7.58,NO,1650742700
Norden,53.6,7.2,54.95,73,4,19.53,DE,1650742700
Broome,42.2506,-75.833,64.71,40,100,5.75,US,1650742445
Port Lincoln,-34.7333,135.8667,62.58,89,5,11.92,AU,1650742700
La Ronge,55.1001,-105.2842,48.42,42,0,6.91,CA,1650742602
Gravelbourg,49.8834,-106.5512,34.07,96,100,20.45,CA,1650742701
Govlyar,40.948,45.735,57.69,57,5,6.17,AZ,1650742701
Bryan,30.6744,-96.37,86.7,48,75,26.46,US,1650742534
Manokwari,-0.8667,134.0833,78.96,81,89,3.67,ID,1650742701
Butaritari,3.0707,172.7902,81.46,75,100,16.33,KI,1650742702
General Roca,-39.0333,-67.5833,70.09,18,0,32.35,AR,1650742702
Merauke,-8.4667,140.3333,79.27,83,100,5.08,ID,1650742702
Arraial do Cabo,-22.9661,-42.0278,96.76,58,0,11.5,BR,1650742703
Hīt,33.6416,42.8251,81.23,9,100,7.14,IQ,1650742703
Suntar,62.1444,117.6319,19.76,96,99,2.24,RU,1650742703
Seoul,37.5683,126.9778,55.0,74,40,2.3,KR,1650742682
Westport,41.1415,-73.3579,66.61,44,100,10.36,US,1650742448
Wakkanai,45.4094,141.6739,44.19,83,24,21.88,JP,1650742704
Coyhaique,-45.5752,-72.0662,43.41,81,100,9.22,CL,1650742684
Vao,-22.6667,167.4833,74.84,74,91,25.23,NC,1650742705
Castro,-24.7911,-50.0119,67.21,83,99,9.98,BR,1650742705
Varkala,8.7341,76.7067,80.38,83,89,1.54,IN,1650742705
Punta Alta,-38.8759,-62.0736,68.2,31,3,19.04,AR,1650742429
Xining,36.6167,101.7667,42.53,88,100,0.6,CN,1650742706
Sorong,-0.8833,131.25,79.57,83,99,5.21,ID,1650742706
Samarai,-10.6167,150.6667,82.06,79,50,11.56,PG,1650742706
Barra de Tecoanapa,16.5167,-98.75,87.51,53,0,13.0,MX,1650742706
Grindavik,63.8424,-22.4338,46.35,76,75,4.61,IS,1650742707
Yenagoa,4.9247,6.2642,78.15,90,58,6.17,NG,1650742707
Simpang,-1.2667,104.0833,74.23,97,98,1.45,ID,1650742707
Santiago,-33.4569,-70.6483,77.29,35,0,9.22,CL,1650742560
Karratha,-20.7377,116.8463,78.87,55,5,6.42,AU,1650742708
Zyryanka,65.75,150.85,7.29,98,93,5.12,RU,1650742708
Husavik,66.0449,-17.3389,47.68,70,8,4.14,IS,1650742708
Luis Gil Pérez,17.8667,-93.05,89.56,36,8,7.16,MX,1650742709
Inuvik,68.3499,-133.7218,32.86,47,0,8.05,CA,1650742709
Srednekolymsk,67.45,153.6833,8.2,97,100,1.92,RU,1650742709
Swinford,53.95,-8.95,58.32,74,3,9.86,IE,1650742709
Colares,38.7992,-9.4469,59.76,72,20,5.99,PT,1650742710
Hilo,19.7297,-155.09,82.27,81,75,5.01,US,1650742448
Pak Phanang,8.3511,100.202,81.54,80,16,1.19,TH,1650742710
Vila Franca do Campo,37.7167,-25.4333,57.61,82,100,11.16,PT,1650742710
Zemio,5.0314,25.1361,73.31,79,32,1.97,CF,1650742711
Abu Samrah,35.3029,37.1841,74.37,18,16,10.02,SY,1650742711
Busembatia,0.7697,33.6131,64.54,97,87,1.43,UG,1650742711
Katherine,-14.4667,132.2667,79.12,50,99,11.5,AU,1650742712
Chiredzi,-21.05,31.6667,69.19,73,0,5.46,ZW,1650742712
Cayenne,4.9333,-52.3333,82.44,1,93,9.22,GF,1650742712
Zhigansk,66.7697,123.3711,4.68,99,98,7.61,RU,1650742713
Soubre,5.7856,-6.6083,79.99,81,100,6.15,CI,1650742713
Sur,22.5667,59.5289,85.64,45,1,10.85,OM,1650742713
Saryg-Sep,51.5,95.6,29.08,64,100,3.38,RU,1650742714
Inhambane,-23.865,35.3833,71.58,100,0,0.0,MZ,1650742714
Kingman,35.1894,-114.053,66.18,13,0,11.5,US,1650742482
Nanortalik,60.1432,-45.2371,34.45,98,100,5.12,GL,1650742714
Esso,55.9333,158.7,28.26,97,100,4.88,RU,1650742714
Forestville,38.8451,-76.875,82.35,41,20,11.5,US,1650742715
Russell,32.3502,-85.1999,82.9,36,0,9.22,US,1650742715
San Patricio,28.017,-97.5169,86.18,64,93,22.95,US,1650742715
Baiquan,47.5833,126.0833,40.12,53,61,13.27,CN,1650742716
Kholodnyy,62.7167,147.95,4.48,98,97,3.87,RU,1650742716
Ilhabela,-23.7781,-45.3581,80.91,62,52,5.23,BR,1650742716
Mandera,3.9366,41.867,86.99,48,100,9.46,KE,1650742717
Kanganpur,30.7663,74.1231,82.18,21,0,6.38,PK,1650742717
Yar-Sale,66.8333,70.8333,-8.77,100,49,4.76,RU,1650742717
Carayaó,-25.1833,-56.4,77.94,69,0,5.14,PY,1650742717
Puerto Nariño,-3.7703,-70.3831,79.75,85,100,3.36,CO,1650742718
Loreto,22.2667,-101.9667,83.17,17,1,3.89,MX,1650742718
Sitka,57.0531,-135.33,49.89,53,100,13.8,US,1650742718
Kattivākkam,13.2167,80.3167,86.09,85,99,6.67,IN,1650742719
Nemuro,43.3236,145.575,37.92,78,0,4.76,JP,1650742719
Richards Bay,-28.783,32.0377,69.06,92,38,2.82,ZA,1650742626
Narsaq,60.9167,-46.05,46.62,96,100,2.59,GL,1650742719
Rantauprapat,2.1,99.8333,74.32,96,100,1.43,ID,1650742720
Masterton,-40.9597,175.6575,53.89,89,38,2.17,NZ,1650742720
Andenes,69.3143,16.1194,39.18,81,20,14.97,NO,1650742720
Cabo San Lucas,22.8909,-109.9124,83.5,63,0,4.61,MX,1650742721
Doctor Phillips,28.4495,-81.4923,84.34,54,75,17.27,US,1650742604
Şebinkarahisar,40.2883,38.4236,56.25,47,1,3.96,TR,1650742721
Muisne,0.6,-80.0333,79.93,75,35,9.08,EC,1650742721
Guerrero Negro,27.9769,-114.0611,65.62,52,0,20.13,MX,1650742465
Montrose,38.4166,-108.2673,42.21,29,94,14.61,US,1650742642
Ginir,7.1333,40.7,59.4,82,100,4.45,ET,1650742722
Jaqué,7.5175,-78.1703,81.66,75,33,4.47,PA,1650742722
Bonavista,48.6499,-53.1147,34.16,89,100,23.22,CA,1650742604
Alta Floresta,-9.8756,-56.0861,91.22,58,40,4.61,BR,1650742723
Matamoros,25.5333,-103.25,91.51,21,0,6.91,MX,1650742723
Demirci,39.0461,28.6589,57.18,46,83,2.93,TR,1650742723
Khor,47.8861,134.9464,49.89,52,100,19.15,RU,1650742723
Lázaro Cárdenas,17.9583,-102.2,84.69,52,0,12.3,MX,1650742724
Buenos Aires,-34.6132,-58.3772,73.94,46,0,14.97,AR,1650742545
Mandalgovi,45.7625,106.2708,42.03,45,84,3.74,MN,1650742724
Devin,41.7433,24.4,50.59,90,26,1.5,BG,1650742724
Berdigestyakh,62.0989,126.6992,18.32,97,100,4.7,RU,1650742725
Faanui,-16.4833,-151.75,79.65,78,100,7.78,PF,1650742725
Kuznechnoye,61.12,29.8686,35.01,85,100,9.95,RU,1650742725
Shubarkuduk,49.1447,56.4872,47.93,85,100,11.54,KZ,1650742726
Hope,33.6671,-93.5916,83.98,48,23,13.42,US,1650742726
Saint-François,46.4154,3.9054,51.24,90,100,6.91,FR,1650742726
Yelahanka,13.1075,77.6003,75.29,78,20,8.05,IN,1650742726
Port Augusta,-32.5,137.7667,65.08,66,84,4.41,AU,1650742727
Akhmīm,26.5622,31.745,80.8,13,1,7.07,EG,1650742727
Hithadhoo,-0.6,73.0833,84.43,74,100,11.45,MV,1650742605
Aripuanã,-9.1667,-60.6333,81.19,92,78,1.36,BR,1650742727
Qaqortoq,60.7167,-46.0333,35.73,99,100,2.46,GL,1650742728
Garden City,42.3256,-83.331,83.77,49,40,8.05,US,1650742681
Vangaindrano,-23.35,47.6,73.2,93,100,7.7,MG,1650742728
Kemijärvi,66.7131,27.4306,29.01,92,12,1.86,FI,1650742728
Menongue,-14.6585,17.691,59.52,69,42,0.76,AO,1650742729
Krasnaya Zarya,52.7825,37.6806,48.58,78,100,7.18,RU,1650742729
Talcahuano,-36.7167,-73.1167,56.88,88,100,3.44,CL,1650742729
Santa Maria,-29.6842,-53.8069,67.3,52,0,6.91,BR,1650742552
Mossamedes,-15.1961,12.1522,71.78,76,23,7.74,AO,1650742730
Avera,33.194,-82.5271,82.54,43,24,9.84,US,1650742730
Acapulco de Juárez,16.8634,-99.8901,87.62,58,0,11.5,MX,1650742685
Kembé,4.6228,21.8865,72.14,93,84,1.61,CF,1650742730
Muzambinho,-21.3758,-46.5256,67.95,76,8,4.59,BR,1650742731
Tuatapere,-46.1333,167.6833,50.94,89,100,10.47,NZ,1650742731
Mount Vernon,40.9126,-73.8371,67.28,37,75,10.36,US,1650742725
Rocha,-34.4833,-54.3333,68.83,34,0,9.22,UY,1650742732
Te Anau,-45.4167,167.7167,50.11,91,100,4.5,NZ,1650742732
Ampanihy,-24.7,44.75,73.26,85,100,11.86,MG,1650742732
Doha,25.2867,51.5333,82.71,52,0,3.44,QA,1650742676
Saint Paul Harbor,57.79,-152.4072,42.31,81,100,17.27,US,1650742732
Whitehorse,60.7161,-135.0538,45.1,53,75,11.01,CA,1650742733
Lewistown,40.5992,-77.5714,71.19,41,0,0.0,US,1650742733
Yerbogachën,61.2767,108.0108,22.77,97,100,3.29,RU,1650742733
Toowoomba,-27.55,151.9667,55.26,86,98,7.0,AU,1650742734
Litovko,49.2361,135.1742,39.18,95,100,4.32,RU,1650742734
Lincoln,40.8,-96.667,82.31,23,0,23.02,US,1650742734
Opuwo,-18.0607,13.84,68.79,40,11,3.69,NA,1650742735
Kumul,42.8,93.45,64.98,23,16,10.76,CN,1650742735
Hereford,52.0568,-2.7148,53.49,71,61,15.66,GB,1650742735
Maltahöhe,-24.8333,16.9833,62.29,55,0,8.72,NA,1650742735
Benghazi,32.1167,20.0667,62.6,76,0,15.64,LY,1650742736
Ergani,38.2653,39.7621,59.94,44,2,1.9,TR,1650742736
Wanaka,-44.7,169.15,55.11,69,100,1.99,NZ,1650742736
Ewo,-0.8725,14.8206,71.87,95,100,4.85,CG,1650742737
Kismayo,-0.3582,42.5454,82.6,77,30,14.9,SO,1650742737
Nerchinskiy Zavod,51.3088,119.61,26.71,42,61,3.09,RU,1650742737
Romny,50.751,33.4747,50.47,78,100,15.39,UA,1650742738
Walvis Bay,-22.9575,14.5053,59.95,82,0,5.75,NA,1650742738
Mahon,39.8885,4.2658,57.76,77,0,18.41,ES,1650742738
Richmond,37.5538,-77.4603,82.42,50,40,13.8,US,1650742674
Wajima,37.4,136.9,53.13,73,100,6.73,JP,1650742739
North Myrtle Beach,33.816,-78.68,82.35,69,0,11.5,US,1650742739
Uruguaiana,-29.7547,-57.0883,69.73,46,0,3.44,BR,1650742739
Karla,59.3723,24.9275,44.31,71,0,12.66,EE,1650742739
Carnarvon,-24.8667,113.6333,62.67,94,40,4.61,AU,1650742514
Kungurtug,50.5994,97.5228,23.13,72,29,2.3,RU,1650742740
Morehead,37.2711,-87.1764,83.79,36,0,18.41,US,1650742740
Blagoveshchenka,52.8333,79.8667,26.29,66,51,16.35,RU,1650742740
Preobrazheniye,42.9019,133.9064,41.58,84,1,4.74,RU,1650742741
Mmathubudukwane,-24.6,26.4333,65.77,76,43,4.27,BW,1650742741
Nchelenge,-9.3451,28.734,70.14,87,36,5.97,ZM,1650742741
Gouré,13.9835,10.2704,91.13,11,3,8.28,NE,1650742742
Mehrān,33.1222,46.1646,78.17,9,81,3.62,IR,1650742742
Hervey Bay,-25.2986,152.8535,69.03,85,81,8.99,AU,1650742743
Ifo,6.8144,3.1958,82.02,84,64,5.35,NG,1650742743
Chinhoyi,-17.3667,30.2,62.51,83,5,2.13,ZW,1650742743
Murmashi,68.8154,32.8115,37.81,64,75,4.47,RU,1650742743
Nara,34.6851,135.8049,63.5,64,100,0.29,JP,1650742656
Hasaki,35.7333,140.8333,61.2,75,100,15.43,JP,1650742744
